assalamualaikum| Waalaikumussalam Warahmatullah Wabarakatuh? silahkan bertanya.
ini aplikasi apa?| Ini adalah aplikasi chatbot pendidikan islam, silahkan bertanya seputar pendidikan anak dalam islam
bagaimana cara mendidik anak sesuai ajaran islam?| Setiap kegiatan dalam hidup termasuk mendidik harus berdasar Al-Qur'an dan Hadits
hukum mendidik anak?| Hukum mendidik anak adalah Wajib
apa itu anak?| Anak adalah anugrah dari Allah untuk meningkatkan rasa syukur atas karuniaNya
seberapa Besar pengaruh kesalehan orang tua terhadap akhlak anaknya ?| Sangat Berpengaruh ! Dengan kesalehan orang tua, anak-anak akan senantiasa tumbuh sesuai dengan kebiasaan yang dilakukan orang tua nya
peran siapakah yang lebih penting, Untuk membangun pendidikan dirumah?| Peran Ibu sangatlah penting dibanding ayah, mengingat kebersamaan ibu dirumah yang lebih lama dibanding ayah
mengapa peran ibu dalam membangun pendidikan sangatlah penting?| Karena Ibulah madrasah pertama yang melahirkan ulama, dai dan mujahid-mujahid pemberani. para ibu juga memiliki peran besar dan agung dalam membangun kepribadian anak dan dalam mendidik mereka agar mengamalkan agama ini
bagaimana sikap baik orang tua ketika dihadapan anak-anak?| Saling Menghargai, Tidak berselisih didepan mereka, Mengikuti Sunnah Nabi SAW
bagaimana contoh konkrit orang tua dalam mendidik anak yang baik?| Contoh Konkrit nya ketika Azan berkumandang orang tua dapat menyuruh anak untuk berhenti melakukan aktifitas yang sedang dilakukan mereka,sehingga mereka untuk bergegas pergi melaksanakan Shalat
adakah kisah pada zaman Rasul yang dapat kita teladani sebagai cerminan untuk Kesalehan Anak?| Anak Berumur 12 Tahun bernama Abdullah Ibn az-Zubair Diceritakan bahwa keberaniannya adalah pengaruh dari keberanian ayah dan ibunya
apakah istilah "Nama adalah Doa" ada dibahas dalam Islam?| Nama memiliki pengaruh yang penting bagi kepribadian, cara hidup, bahkan lingkungan. Nabi SAW waktu itu mengganti nama Kota Yastrib menjadi madinah. yang intinya Nabi mendoakan Kota tersebut
bagaimana kisah teladan zaman nabi yang berkaitan dengan pengaruh pemberian nama ini?| Waktu itu seseorang pernah datang kepada nabi, lalu ia ditanya namanya, kemudian nama ia adalah Huzn (Sedih) maka dari itu nabi langsung mengganti namanya menjadi Sahl (Mudah)
apakah perlu mengajari syariat islam kepada anak sejak dini?| Wajib ! Peran orang tua dalam mendidik anak tidak hanya mengjari saja mengenai etika, norma dsb. Namun syariat wajib terlebih dahulu diajarkan
mengapa mengajari syariat islam perlu sejak dini?| Karena ada pepatah “Belajar di waktu kecil seperti mengukir di atas batu” sehingga sangat pas seorang anak diajari syariat sejak dini 
apa landasan perlunya mengajarkan syariat islam sejak dini ini?| Rasul SAW bersabda : “Perintahkan anak-anak kalian shalat pada umur tujuh tahun, dan pukullah mereka karenanya jika berumur sepuluh tahun. Pisahkan juga tempat tidur mereka.”
selain menerapkan syariat, apakah keilmuanpun perlu diajarkan kepada anak?| Perlu ! Ibnu Muflih berkata : "Ilmu yang didapat sejak kecil lebih kuat. Sudah seharusnya memperhatikan pelajar muda, terlebih lagi mereka yang memiliki kecerdasan, penalaran dan semangat menuntut ilmu."
